time,station,rr,tl_mittel,bewm_mittel,so_h,vv_mittel,substation
2024-09-01T00:00+00:00,1,-1.0,20.5,57,8.0,1.0,10200
2024-09-01T00:00+00:00,105,-1.0,25.3,53,11.0,1.5,5904
2024-09-02T00:00+00:00,1,-1.0,21.1,20,9.6,1.5,10200
2024-09-02T00:00+00:00,105,0.0,25.3,63,8.3,2.1,5904
2024-09-03T00:00+00:00,1,-1.0,20.4,13,10.4,1.5,10200
2024-09-03T00:00+00:00,105,-1.0,25.6,20,11.8,2.6,5904
2024-09-04T00:00+00:00,1,-1.0,19.8,40,9.1,1.0,10200
2024-09-04T00:00+00:00,105,-1.0,25.7,37,10.9,2.6,5904
2024-09-05T00:00+00:00,1,-1.0,19.0,37,5.9,1.0,10200
2024-09-05T00:00+00:00,105,-1.0,25.4,40,10.0,3.8,5904
2024-09-06T00:00+00:00,1,0.8,17.5,67,2.4,0.6,10200
2024-09-06T00:00+00:00,105,-1.0,22.7,83,6.0,3.2,5904
2024-09-07T00:00+00:00,1,-1.0,18.1,47,7.0,1.5,10200
2024-09-07T00:00+00:00,105,-1.0,23.5,17,11.4,3.8,5904
2024-09-08T00:00+00:00,1,14.6,18.9,80,6.4,1.5,10200
2024-09-08T00:00+00:00,105,7.0,24.8,57,9.6,3.8,5904
2024-09-09T00:00+00:00,1,38.2,16.8,100,0.0,1.5,10200
2024-09-09T00:00+00:00,105,12.4,21.0,100,0.0,3.2,5904
2024-09-10T00:00+00:00,1,0.9,14.0,67,0.6,1.5,10200
2024-09-10T00:00+00:00,105,0.4,19.3,30,8.2,5.2,5904
2024-09-11T00:00+00:00,1,13.9,13.6,60,6.9,1.5,10200
2024-09-11T00:00+00:00,105,5.5,19.3,63,9.0,3.2,5904
2024-09-12T00:00+00:00,1,16.5,10.1,100,0.0,0.6,10200
2024-09-12T00:00+00:00,105,22.4,13.9,100,0.0,5.9,5904
2024-09-13T00:00+00:00,1,3.5,5.5,100,0.0,1.5,10200
2024-09-13T00:00+00:00,105,40.3,7.7,100,0.0,9.2,5904
2024-09-14T00:00+00:00,1,63.8,6.3,100,0.0,4.5,10200
2024-09-14T00:00+00:00,105,101.6,8.0,100,0.0,12.1,5904
2024-09-15T00:00+00:00,1,20.3,6.2,100,0.3,3.2,10200
2024-09-15T00:00+00:00,105,23.5,9.3,100,0.0,10.2,5904
2024-09-16T00:00+00:00,1,5.9,8.3,93,0.0,1.0,10200
2024-09-16T00:00+00:00,105,14.6,10.7,100,0.0,5.9,5904
2024-09-17T00:00+00:00,1,0.6,10.9,70,5.7,2.1,10200
2024-09-17T00:00+00:00,105,-1.0,13.6,63,6.8,2.6,5904
2024-09-18T00:00+00:00,1,1.6,11.4,53,0.1,1.0,10200
2024-09-18T00:00+00:00,105,9.9,19.3,53,9.4,2.1,5904
2024-09-19T00:00+00:00,1,-1.0,12.2,73,3.4,1.0,10200
2024-09-19T00:00+00:00,105,-1.0,17.7,13,10.3,2.6,5904
2024-09-20T00:00+00:00,1,1.3,12.9,40,7.9,1.5,10200
2024-09-20T00:00+00:00,105,-1.0,17.3,27,9.2,2.1,5904
2024-09-21T00:00+00:00,1,-1.0,14.0,60,4.7,1.5,10200
2024-09-21T00:00+00:00,105,-1.0,16.2,7,11.3,2.1,5904
2024-09-22T00:00+00:00,1,-1.0,13.7,43,6.4,1.5,10200
2024-09-22T00:00+00:00,105,-1.0,17.1,37,11.2,3.8,5904
2024-09-23T00:00+00:00,1,1.2,13.2,17,8.1,2.1,10200
2024-09-23T00:00+00:00,105,-1.0,17.2,33,10.3,2.6,5904
2024-09-24T00:00+00:00,1,6.4,11.9,93,0.1,0.6,10200
2024-09-24T00:00+00:00,105,2.2,16.9,93,0.1,1.0,5904
2024-09-25T00:00+00:00,1,0.1,13.7,50,2.2,1.0,10200
2024-09-25T00:00+00:00,105,-1.0,17.6,77,6.5,2.6,5904
2024-09-26T00:00+00:00,1,6.3,14.9,60,5.2,1.5,10200
2024-09-26T00:00+00:00,105,0.5,18.4,73,3.7,2.1,5904
2024-09-27T00:00+00:00,1,12.3,14.3,97,0.0,0.6,10200
2024-09-27T00:00+00:00,105,2.1,18.2,97,0.0,2.1,5904
2024-09-28T00:00+00:00,1,3.1,9.7,73,0.2,1.0,10200
2024-09-28T00:00+00:00,105,-1.0,15.2,67,2.0,5.2,5904
2024-09-29T00:00+00:00,1,-1.0,7.7,53,6.1,2.1,10200
2024-09-29T00:00+00:00,105,-1.0,11.8,40,6.7,4.5,5904
2024-09-30T00:00+00:00,1,0.6,6.7,37,6.6,1.0,10200
2024-09-30T00:00+00:00,105,-1.0,10.3,57,9.0,1.5,5904
2024-10-01T00:00+00:00,1,0.5,10.6,87,2.1,1.5,10200
2024-10-01T00:00+00:00,105,0.3,12.1,77,2.9,1.5,5904
