time,station,rr,tl_mittel,bewm_mittel,so_h,vv_mittel,substation
2024-07-01T00:00+00:00,1,3.2,20.0,83.0,0.6,1.0,10200
2024-07-01T00:00+00:00,105,1.8,21.9,93.0,2.2,4.5,5904
2024-07-02T00:00+00:00,1,0.0,14.6,67.0,0.7,1.5,10200
2024-07-02T00:00+00:00,105,-1.0,20.3,73.0,7.8,5.9,5904
2024-07-03T00:00+00:00,1,0.8,15.2,67.0,1.4,1.5,10200
2024-07-03T00:00+00:00,105,0.4,20.1,80.0,2.3,2.6,5904
2024-07-04T00:00+00:00,1,0.8,15.8,53.0,5.2,2.1,10200
2024-07-04T00:00+00:00,105,0.0,19.9,53.0,9.7,5.2,5904
2024-07-05T00:00+00:00,1,-1.0,18.1,40.0,7.0,1.0,10200
2024-07-05T00:00+00:00,105,0.0,23.0,63.0,13.9,3.8,5904
2024-07-06T00:00+00:00,1,3.3,19.8,20.0,7.3,2.1,10200
2024-07-06T00:00+00:00,105,-1.0,25.1,70.0,8.2,5.2,5904
2024-07-07T00:00+00:00,1,15.6,19.3,93.0,0.1,1.0,10200
2024-07-07T00:00+00:00,105,2.3,24.4,87.0,1.4,3.2,5904
2024-07-08T00:00+00:00,1,1.1,20.5,40.0,3.6,2.1,10200
2024-07-08T00:00+00:00,105,-1.0,22.8,63.0,5.5,2.6,5904
2024-07-09T00:00+00:00,1,-1.0,22.7,23.0,10.2,2.1,10200
2024-07-09T00:00+00:00,105,-1.0,26.5,60.0,9.1,2.6,5904
2024-07-10T00:00+00:00,1,22.0,23.9,3.0,11.0,2.1,10200
2024-07-10T00:00+00:00,105,1.4,28.2,47.0,10.2,3.2,5904
2024-07-11T00:00+00:00,1,24.7,21.8,67.0,4.0,1.0,10200
2024-07-11T00:00+00:00,105,0.0,26.4,37.0,9.8,1.5,5904
2024-07-12T00:00+00:00,1,14.8,22.3,70.0,4.8,1.0,10200
2024-07-12T00:00+00:00,105,12.2,26.4,80.0,6.4,2.1,5904
2024-07-13T00:00+00:00,1,-1.0,20.2,63.0,5.1,1.5,10200
2024-07-13T00:00+00:00,105,0.0,23.7,73.0,8.0,2.1,5904
2024-07-14T00:00+00:00,1,24.5,21.7,57.0,7.8,1.5,10200
2024-07-14T00:00+00:00,105,-1.0,25.0,53.0,11.1,2.1,5904
2024-07-15T00:00+00:00,1,-1.0,22.7,40.0,9.8,2.1,10200
2024-07-15T00:00+00:00,105,-1.0,27.5,40.0,11.4,1.5,5904
2024-07-16T00:00+00:00,1,99.6,21.9,37.0,9.6,2.1,10200
2024-07-16T00:00+00:00,105,0.1,26.9,50.0,12.1,5.9,5904
2024-07-17T00:00+00:00,1,1.4,20.0,77.0,3.3,2.6,10200
2024-07-17T00:00+00:00,105,-1.0,25.2,63.0,10.1,5.2,5904
2024-07-18T00:00+00:00,1,0.1,20.8,33.0,7.1,1.0,10200
2024-07-18T00:00+00:00,105,-1.0,25.6,60.0,11.2,2.6,5904
2024-07-19T00:00+00:00,1,8.2,21.0,70.0,5.0,0.6,10200
2024-07-19T00:00+00:00,105,-1.0,25.4,40.0,11.3,2.6,5904
2024-07-20T00:00+00:00,1,1.5,18.9,80.0,0.0,1.0,10200
2024-07-20T00:00+00:00,105,0.0,24.4,97.0,0.0,2.1,5904
2024-07-21T00:00+00:00,1,-1.0,20.6,,9.3,1.5,10200
2024-07-21T00:00+00:00,105,-1.0,24.8,10.0,13.3,1.5,5904
2024-07-22T00:00+00:00,1,1.9,19.7,,3.0,1.0,10200
2024-07-22T00:00+00:00,105,0.0,23.6,77.0,5.9,6.7,5904
2024-07-23T00:00+00:00,1,0.4,19.9,,6.1,1.0,10200
2024-07-23T00:00+00:00,105,0.0,25.5,87.0,5.9,3.8,5904
2024-07-24T00:00+00:00,1,-1.0,17.9,47.0,4.2,1.5,10200
2024-07-24T00:00+00:00,105,0.6,23.6,50.0,6.4,5.2,5904
2024-07-25T00:00+00:00,1,-1.0,18.0,20.0,6.8,1.0,10200
2024-07-25T00:00+00:00,105,-1.0,22.4,80.0,7.7,3.2,5904
2024-07-26T00:00+00:00,1,-1.0,18.8,3.0,11.9,1.5,10200
2024-07-26T00:00+00:00,105,-1.0,22.4,70.0,13.4,2.1,5904
2024-07-27T00:00+00:00,1,-1.0,22.1,3.0,11.4,1.5,10200
2024-07-27T00:00+00:00,105,0.0,26.0,37.0,13.2,2.6,5904
2024-07-28T00:00+00:00,1,-1.0,21.9,17.0,4.2,2.6,10200
2024-07-28T00:00+00:00,105,0.0,26.5,87.0,3.6,3.2,5904
2024-07-29T00:00+00:00,1,-1.0,17.2,0.0,12.8,2.1,10200
2024-07-29T00:00+00:00,105,-1.0,22.7,23.0,12.3,2.6,5904
2024-07-30T00:00+00:00,1,-1.0,18.8,10.0,12.8,1.5,10200
2024-07-30T00:00+00:00,105,-1.0,21.7,7.0,14.3,1.5,5904
2024-07-31T00:00+00:00,1,-1.0,21.7,13.0,12.4,1.5,10200
2024-07-31T00:00+00:00,105,-1.0,24.2,20.0,13.7,2.1,5904
2024-08-01T00:00+00:00,1,69.5,22.6,73.0,6.3,1.0,10200
2024-08-01T00:00+00:00,105,0.1,26.5,80.0,4.9,2.1,5904
