time,station,rr,tl_mittel,bewm_mittel,so_h,vv_mittel,substation
2024-03-01T00:00+00:00,1,2.2,7.2,73,0.0,1.5,10200
2024-03-01T00:00+00:00,105,0.0,10.8,100,0.0,3.2,5904
2024-03-02T00:00+00:00,1,0.5,6.6,77,1.1,1.0,10200
2024-03-02T00:00+00:00,105,-1,8.2,100,0.0,2.1,5904
2024-03-03T00:00+00:00,1,-1.0,8.3,23,9.1,2.1,10200
2024-03-03T00:00+00:00,105,-1,12.7,53,8.6,3.2,5904
2024-03-04T00:00+00:00,1,-1.0,7.0,17,8.1,1.0,10200
2024-03-04T00:00+00:00,105,-1,10.7,17,10.1,3.2,5904
2024-03-05T00:00+00:00,1,-1.0,4.8,37,2.1,1.5,10200
2024-03-05T00:00+00:00,105,-1,11.2,73,1.9,3.2,5904
2024-03-06T00:00+00:00,1,0.0,4.2,83,0.3,2.1,10200
2024-03-06T00:00+00:00,105,0.2,8.0,73,6.1,3.8,5904
2024-03-07T00:00+00:00,1,0.6,3.0,83,0.6,1.0,10200
2024-03-07T00:00+00:00,105,0.6,6.5,93,0.6,4.5,5904
2024-03-08T00:00+00:00,1,0.2,1.1,93,0.7,1.0,10200
2024-03-08T00:00+00:00,105,-1,4.6,80,0.2,3.2,5904
2024-03-09T00:00+00:00,1,-1.0,2.8,90,0.0,1.5,10200
2024-03-09T00:00+00:00,105,-1,8.4,90,0.8,5.2,5904
2024-03-10T00:00+00:00,1,-1.0,5.9,97,0.2,1.0,10200
2024-03-10T00:00+00:00,105,-1,12.1,70,3.5,5.9,5904
2024-03-11T00:00+00:00,1,5.3,6.5,93,0.5,1.5,10200
2024-03-11T00:00+00:00,105,38.8,11.6,97,0.6,1.0,5904
2024-03-12T00:00+00:00,1,-1.0,5.9,67,1.1,2.1,10200
2024-03-12T00:00+00:00,105,7.9,8.0,100,0.0,8.4,5904
2024-03-13T00:00+00:00,1,-1.0,6.8,43,7.2,1.5,10200
2024-03-13T00:00+00:00,105,-1,11.1,73,5.6,4.5,5904
2024-03-14T00:00+00:00,1,0.2,7.9,53,3.8,1.5,10200
2024-03-14T00:00+00:00,105,-1,10.7,57,5.5,1.5,5904
2024-03-15T00:00+00:00,1,1.3,8.6,73,6.7,1.5,10200
2024-03-15T00:00+00:00,105,-1,10.9,50,8.1,2.1,5904
2024-03-16T00:00+00:00,1,4.3,9.5,57,3.1,2.1,10200
2024-03-16T00:00+00:00,105,0.0,14.2,80,6.0,5.9,5904
2024-03-17T00:00+00:00,1,0.0,9.0,47,7.1,2.6,10200
2024-03-17T00:00+00:00,105,0.0,9.8,50,6.5,3.2,5904
2024-03-18T00:00+00:00,1,0.0,7.6,67,2.0,1.5,10200
2024-03-18T00:00+00:00,105,-1,7.4,87,10.4,2.1,5904
2024-03-19T00:00+00:00,1,-1.0,7.3,50,3.1,1.0,10200
2024-03-19T00:00+00:00,105,-1,4.7,7,11.2,2.1,5904
2024-03-20T00:00+00:00,1,-1.0,6.1,17,10.7,1.5,10200
2024-03-20T00:00+00:00,105,-1,6.4,33,10.3,2.1,5904
2024-03-21T00:00+00:00,1,0.9,4.8,90,0.0,1.0,10200
2024-03-21T00:00+00:00,105,0.0,10.1,83,6.0,1.5,5904
2024-03-22T00:00+00:00,1,-1.0,10.0,43,2.6,0.6,10200
2024-03-22T00:00+00:00,105,-1,14.1,90,1.0,3.8,5904
2024-03-23T00:00+00:00,1,0.8,10.7,77,4.7,1.5,10200
2024-03-23T00:00+00:00,105,1.5,15.5,93,3.7,4.5,5904
2024-03-24T00:00+00:00,1,0.9,4.4,63,4.1,2.1,10200
2024-03-24T00:00+00:00,105,0.1,8.3,60,8.8,5.9,5904
2024-03-25T00:00+00:00,1,-1.0,4.5,37,9.1,1.5,10200
2024-03-25T00:00+00:00,105,0.0,8.8,50,5.5,4.5,5904
2024-03-26T00:00+00:00,1,-1.0,4.1,20,8.0,1.5,10200
2024-03-26T00:00+00:00,105,-1,9.7,77,9.1,5.9,5904
2024-03-27T00:00+00:00,1,5.8,9.5,77,2.0,1.5,10200
2024-03-27T00:00+00:00,105,1.2,13.4,93,6.4,5.9,5904
2024-03-28T00:00+00:00,1,1.0,7.7,67,5.3,1.5,10200
2024-03-28T00:00+00:00,105,0.1,13.5,83,5.4,5.9,5904
2024-03-29T00:00+00:00,1,-1.0,7.4,20,8.7,2.6,10200
2024-03-29T00:00+00:00,105,-1,14.1,63,9.9,3.2,5904
2024-03-30T00:00+00:00,1,-1.0,12.4,60,6.2,2.1,10200
2024-03-30T00:00+00:00,105,-1,16.9,70,1.9,3.2,5904
2024-03-31T00:00+00:00,1,0.2,11.5,37,2.9,2.1,10200
2024-03-31T00:00+00:00,105,-1,17.9,77,3.3,3.8,5904
2024-04-01T00:00+00:00,1,9.0,14.1,47,6.8,3.8,10200
2024-04-01T00:00+00:00,105,10.9,20.2,97,3.8,7.5,5904
