time,station,rr,tl_mittel,bewm_mittel,so_h,vv_mittel,substation
2024-04-01T00:00+00:00,1,9.0,14.1,47,6.8,3.8,10200
2024-04-01T00:00+00:00,105,10.9,20.2,97,3.8,7.5,5904
2024-04-02T00:00+00:00,1,0.3,7.7,50,4.2,2.1,10200
2024-04-02T00:00+00:00,105,0.5,12.5,43,7.2,5.2,5904
2024-04-03T00:00+00:00,1,4.6,6.1,67,5.3,2.1,10200
2024-04-03T00:00+00:00,105,0.3,12.5,70,6.5,2.6,5904
2024-04-04T00:00+00:00,1,1.1,11.8,70,6.4,1.5,10200
2024-04-04T00:00+00:00,105,1.9,15.3,87,5.1,4.5,5904
2024-04-05T00:00+00:00,1,-1.0,13.3,33,7.8,1.5,10200
2024-04-05T00:00+00:00,105,0.0,16.4,83,7.5,2.6,5904
2024-04-06T00:00+00:00,1,-1.0,16.0,23,10.3,1.0,10200
2024-04-06T00:00+00:00,105,-1,20.2,60,8.9,1.0,5904
2024-04-07T00:00+00:00,1,-1.0,16.0,13,11.2,1.5,10200
2024-04-07T00:00+00:00,105,-1,19.0,63,11.6,2.6,5904
2024-04-08T00:00+00:00,1,-1.0,16.9,23,9.0,1.0,10200
2024-04-08T00:00+00:00,105,-1,20.5,87,9.0,3.8,5904
2024-04-09T00:00+00:00,1,-1.0,16.3,67,5.8,1.5,10200
2024-04-09T00:00+00:00,105,-1,18.7,77,8.4,2.6,5904
2024-04-10T00:00+00:00,1,-1.0,12.7,80,0.8,2.1,10200
2024-04-10T00:00+00:00,105,-1,15.1,100,0.0,4.5,5904
2024-04-11T00:00+00:00,1,-1.0,11.3,3,10.4,1.0,10200
2024-04-11T00:00+00:00,105,-1,14.8,63,11.9,3.8,5904
2024-04-12T00:00+00:00,1,-1.0,13.7,3,11.1,0.6,10200
2024-04-12T00:00+00:00,105,-1,16.9,40,11.4,2.6,5904
2024-04-13T00:00+00:00,1,-1.0,14.7,3,11.6,1.0,10200
2024-04-13T00:00+00:00,105,-1,20.4,60,11.8,3.8,5904
2024-04-14T00:00+00:00,1,-1.0,16.4,3,12.0,2.1,10200
2024-04-14T00:00+00:00,105,-1,19.2,90,8.4,2.6,5904
2024-04-15T00:00+00:00,1,40.9,15.1,80,0.7,1.5,10200
2024-04-15T00:00+00:00,105,13.0,17.8,100,1.9,2.6,5904
2024-04-16T00:00+00:00,1,1.4,6.4,93,0.0,1.5,10200
2024-04-16T00:00+00:00,105,0.2,10.1,100,0.0,3.2,5904
2024-04-17T00:00+00:00,1,1.4,4.0,90,1.4,1.0,10200
2024-04-17T00:00+00:00,105,0.7,8.8,67,3.9,4.5,5904
2024-04-18T00:00+00:00,1,2.2,3.6,80,1.4,1.5,10200
2024-04-18T00:00+00:00,105,0.0,7.6,80,8.2,4.5,5904
2024-04-19T00:00+00:00,1,0.3,4.2,47,2.6,1.5,10200
2024-04-19T00:00+00:00,105,4.7,7.6,80,7.1,5.2,5904
2024-04-20T00:00+00:00,1,1.5,4.0,73,2.0,3.2,10200
2024-04-20T00:00+00:00,105,7.9,8.5,97,2.7,5.2,5904
2024-04-21T00:00+00:00,1,0.0,3.7,60,3.4,1.5,10200
2024-04-21T00:00+00:00,105,-1,6.6,37,10.7,4.5,5904
2024-04-22T00:00+00:00,1,3.4,2.2,60,7.8,2.1,10200
2024-04-22T00:00+00:00,105,3.8,6.6,90,1.4,2.6,5904
2024-04-23T00:00+00:00,1,2.7,2.2,97,0.0,1.0,10200
2024-04-23T00:00+00:00,105,1.8,4.9,100,0.3,2.6,5904
2024-04-24T00:00+00:00,1,0.0,3.5,80,0.3,2.1,10200
2024-04-24T00:00+00:00,105,3.0,6.8,100,0.2,4.5,5904
2024-04-25T00:00+00:00,1,0.0,3.8,63,1.2,1.5,10200
2024-04-25T00:00+00:00,105,0.0,9.2,77,9.9,2.6,5904
2024-04-26T00:00+00:00,1,-1.0,6.1,73,6.7,1.5,10200
2024-04-26T00:00+00:00,105,-1,9.2,23,11.8,3.2,5904
2024-04-27T00:00+00:00,1,-1.0,7.7,13,10.6,1.5,10200
2024-04-27T00:00+00:00,105,-1,12.7,10,13.6,3.8,5904
2024-04-28T00:00+00:00,1,-1.0,11.7,63,9.6,1.5,10200
2024-04-28T00:00+00:00,105,-1,16.3,83,11.7,3.8,5904
2024-04-29T00:00+00:00,1,-1.0,13.6,3,12.1,2.1,10200
2024-04-29T00:00+00:00,105,-1,18.1,73,13.2,3.8,5904
2024-04-30T00:00+00:00,1,-1.0,13.8,33,12.0,1.5,10200
2024-04-30T00:00+00:00,105,0.0,17.8,10,13.5,4.5,5904
2024-05-01T00:00+00:00,1,1.7,12.7,87,0.6,1.0,10200
2024-05-01T00:00+00:00,105,0.0,17.5,83,6.9,5.2,5904
